url,id,user,text,coordinates,place,source,location
https://www.strava.com/athletes/15659702,1058942391795703808,bunman,went for a 20.0 kilometer Run. https://t.co/d8McdJIFEN #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Singapore
https://www.strava.com/athletes/3061190,1058930755546411008,lawdh337,went for a 66.5 kilometer Ride. https://t.co/w1i3gUfSDF #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sri Petaling, KL,Malaysia"
https://www.strava.com/athletes/33883195,1058929279126421505,KeBorges,"saí para um(a) Pedalada de 0,0 quilômetro. https://t.co/uGywcJHIM9 #strava",,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",
https://www.strava.com/athletes/1029665,1058907974561759232,MartyClarkeArt,went for a 71.4 kilometer mountain bike ride. https://t.co/KMCjEfBUDG #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mandurah, Western Australia"
https://www.strava.com/athletes/114295,1058898970238275584,rcrawson1,Went for a 60 mile road ride Today! https://t.co/jHlq7KbTvR #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Internet, USA"
https://www.strava.com/athletes/355926,1058896098604077056,fontosaurus,Today's chilly training ride. https://t.co/eRIDJKB4Ym #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Minneapolis, MN, USA"
https://www.strava.com/athletes/1716946,1058858973955125248,nevadebt,went for a 3.6 kilometer Walk. https://t.co/UBXX4z0zHw #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",
https://www.strava.com/athletes/19213394,1058850661935316993,go300ps,https://t.co/5CLzAcJG8a #strava #sunset #wellfleet #capecod,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ville de Taipei, Taïwan"
https://www.strava.com/athletes/4063907,1058848471439040515,mrjohntudor,Using the #MountainBike for #work 10.7 mile #MTB #cycling https://t.co/yCLEEjXoNP #strava #stravacycling https://t.co/SjwpkxuVzH,,"{u'full_name': u'Wales, United Kingdom', u'url': u'https://api.twitter.com/1.1/geo/id/208d28e57bdc12e9.json', u'country': u'United Kingdom', u'place_type': u'admin', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-5.35340678071236, 51.3787780012005], [-2.64982707940341, 51.3787780012005], [-2.64982707940341, 53.4300939018827], [-5.35340678071236, 53.4300939018827]]]}, u'contained_within': [], u'country_code': u'GB', u'attributes': {}, u'id': u'208d28e57bdc12e9', u'name': u'Wales'}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GreatOutdoors UK
https://www.strava.com/athletes/5851645,1058840085238558720,amteixeira,"@bclaveranne Challenge accepted – 16km run in São Paulo, 44km to go https://t.co/7jJWluJQCW #strava",,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","São Paulo, Brazil"
